symbol,price,mom12_1,mom6,vol,dd1y,trend,mdvol,revenue_ttm,gross_profit_ttm,operating_income_ttm,ebitda_ttm,net_income_ttm,eps_ttm,operating_cash_flow_ttm,free_cash_flow_ttm,capex_ttm,revenue_ttm_p,gross_profit_ttm_p,operating_income_ttm_p,ebitda_ttm_p,net_income_ttm_p,eps_ttm_p,operating_cash_flow_ttm_p,free_cash_flow_ttm_p,capex_ttm_p,total_assets,total_liabilities,total_equity,cash_and_equivalents,total_debt,fund_age_d,shares,mcap,rev_g,eps_g,gm,om,om_chg,fcf_margin,roe,roa,equity_ratio,net_debt,nd_ebitda,ey,fcf_yield,sales_y,buyback_yield,accruals,cash_conv,unit_suspect,sector,industry,exchange,country,active,name,quality,growth,value,compounding,total,div_yield,weight
ADSK,249.08,-0.28809856991706195,0.03610648918469228,0.35754892731729865,-0.425563817742281,0.1626984126984127,447374958.76,7507000000.0,6842000000.0,1997000000.0,2168000000.0,1463000000.0,6.9,2781000000.0,2729000000.0,-52000000.0,6347000000.0,5746000000.0,1408000000.0,1499000000.0,1012000000.0,4.709302325581396,1677000000.0,1624000000.0,-53000000.0,11932000000.0,8743000000.0,3189000000.0,2671000000.0,2724000000.0,99.0,166369708.37080455,41439366961.0,0.18276351031983618,0.46518518518518515,0.9114160117223924,0.26601838284268015,0.04418129445446525,0.36352737445051286,0.4587645029789903,0.12261146496815287,0.26726449882668457,53000000.0,0.024446494464944648,0.035304593368351386,0.06585525311157274,0.18115624225305116,,-0.1104592691920885,1.8653451811346549,False,Technology,Software - Application,NASDAQ,US,True,"Autodesk, Inc.",1.716460283062406,1.264641082411372,-0.3427269694887804,1.6012996095379577,1.0599185013807388,0.0,0.03333333333333333
AR,34.71,0.042623941958887634,0.00989234797788785,0.37191951219264546,-0.26423034330011075,0.376984126984127,169610238.07,5483667000.0,1428090000.0,1144285000.0,2181144000.0,961663000.0,3.11,2032249000.0,1772961000.0,-259288000.0,4453718000.0,606229000.0,264081000.0,1046216000.0,214709000.0,0.6843,1045417000.0,1025187000.0,-20230000.0,15349446000.0,7126233000.0,8063044000.0,0.0,4750665000.0,129.0,313942152.6937482,10896932120.0,0.23125599779779504,3.544790296653514,0.26042609808363637,0.2086714966463135,0.14937699259374437,0.32331667841975087,0.11926798365480829,0.06265131653611472,0.5252986980767905,4750665000.0,2.1780611458940813,0.08825080209823313,0.16270276629015104,0.5032303532418444,,-0.06974753355919165,1.8436406516627966,False,Energy,Oil & Gas Exploration & Production,NYSE,US,True,Antero Resources Corporation,-0.521456288525288,1.8555432475555502,1.5090217313311975,1.37463162827916,1.054435079660155,0.0,0.03333333333333333
PIPR,74.79,-0.06422018348623859,-0.16332923145765743,0.35392590984505784,-0.24560646900269545,0.30158730158730157,48362930.08,1998384000.0,1945200000.0,434825000.0,455820999.0,281658000.0,4.185,596625000.0,570953000.0,-25672000.0,1515095000.0,1231006000.0,159854000.0,130953000.0,203536000.0,9.73,277424000.0,252053000.0,-25371000.0,2130063000.0,572204000.0,1341836000.0,344434000.0,112222000.0,129.0,68797238.18692338,5145345444.0,0.31898263805239946,-0.5698869475847894,0.9733864962890015,0.2175883113555753,0.11208073592301167,0.28570735154004434,0.20990493622171413,0.13222989179193292,0.6299513206886369,-232212000.0,-0.50943681951783,0.054740347964089,0.11096495001434543,0.38838675104512577,,-0.14786745744139962,2.0271144437580326,False,Financial Services,Investment - Banking & Investment Services,NYSE,US,True,Piper Sandler Companies,0.9516577265586504,0.5632899144365063,0.9207590225071716,1.7621607575280722,1.0494668552576,0.043120738066586436,0.03333333333333333
ADT,7.64,-0.19588875453446186,-0.046192259675405745,0.2826945423538234,-0.27752293577981657,0.25793650793650796,60398137.64,5139989000.0,2589346000.0,1316237000.0,2839327000.0,623311000.0,0.7699999999999998,2056415000.0,1787453000.0,-268962000.0,4975886000.0,2502378000.0,1246218000.0,2784902000.0,549791000.0,0.6099999999999999,1987723000.0,1331095000.0,-656628000.0,15913000000.0,12113000000.0,3800000000.0,119000000.0,7669000000.0,129.0,614702945.026178,4696330500.0,0.0329796542766454,0.26229508196721296,0.503764891325643,0.25607778538047454,0.0056263079953415285,0.34775424616667466,0.16402921052631578,0.03916992396154088,0.23879846666247723,7550000000.0,2.659080831478727,0.1327229844662764,0.3806063052845195,1.0944691818431433,,-0.09005869414943757,2.867674403307498,False,Industrials,Security & Protection Services,NYSE,US,True,ADT Inc.,0.46496519060171515,-0.5577674642949719,1.9131326356537894,1.6597945724434537,0.8700312336009965,0.02879581151832461,0.03333333333333333
CF,114.35,0.40505237215033874,0.2460499073771385,0.42137505187025187,-0.2544512551079976,0.42857142857142855,245613241.0,7407000000.0,2993000000.0,2643000000.0,3465000000.0,1758000000.0,11.15,2662000000.0,1621000000.0,-1041000000.0,6129000000.0,2324000000.0,2001000000.0,2877000000.0,1336000000.0,7.59,2412000000.0,1860000000.0,-552000000.0,14608000000.0,6352000000.0,5342000000.0,2042000000.0,3620000000.0,129.0,142048046.9610844,16243194170.0,0.2085168869309839,0.46903820816864306,0.4040772242473336,0.35682462535439446,0.030343959666680298,0.2188470365870123,0.3290902283788843,0.12034501642935377,0.36569003285870755,1578000000.0,0.45541125541125543,0.10822994428318158,0.09979564259558439,0.45600636934330263,,-0.061883899233296825,0.9220705346985211,False,Basic Materials,Agricultural Inputs,NYSE,US,True,"CF Industries Holdings, Inc.",0.6865841132249625,1.1873267804298908,1.3657925500523043,0.14623740726374035,0.8464852127427245,0.017490161783996504,0.03333333333333333
DXCM,84.75,-0.044240837696335245,0.21123338573674433,0.4253092826719258,-0.33333333333333337,0.45634920634920634,329498057.92499995,4817900000.0,2979200000.0,1033400000.0,1292299999.0,930400000.0,2.4,1782500000.0,1429400000.0,-353100000.0,4148000000.0,2463500000.0,632599999.0,949799999.0,535200000.0,1.37,964100000.0,575200001.0,-388899999.0,6633300000.0,3676400000.0,2956900000.0,1118200000.0,1384800000.0,129.0,319352573.5339233,27065130607.000004,0.16149951783992278,0.751824817518248,0.6183606965690446,0.21449179102928662,0.06198455886920948,0.29668527781813653,0.3146538604619703,0.1402620113668913,0.44576605912592526,266600000.0,0.2062988471765835,0.0343763351269166,0.05281334203612919,0.17801133384347756,,-0.12845793194940677,1.5363284608770422,False,Healthcare,Medical - Devices,NASDAQ,US,True,"DexCom, Inc.",0.9125485049192539,1.3916574356666627,-0.5780320530183909,1.5208690355429004,0.8117607307776065,0.0,0.03333333333333333
CRM,192.74,-0.32141813170752076,0.009797244197621513,0.41288761614322517,-0.43472530782844443,0.24206349206349206,2152499369.205,41525000000.0,32255000000.0,8913000000.0,12725000000.0,7457000000.0,7.85,14996000000.0,14402000000.0,-594000000.0,37895000000.0,29252000000.0,7205000000.0,8102000000.0,6197000000.0,6.44,13092000000.0,12434000000.0,-658000000.0,112305000000.0,53163000000.0,59142000000.0,7327000000.0,17176000000.0,188.0,672953356.8537927,129705030000.0,0.09579100145137875,0.21894409937888182,0.7767609873570138,0.2146417820590006,0.024511157966112362,0.34682721252257676,0.1260863684014744,0.06639953697520146,0.5266194737545078,9849000000.0,0.7739882121807465,0.0574919877818154,0.11103655733320443,0.32014949612979543,,-0.06712969146520635,1.9313396808367977,False,Technology,Software - Application,NYSE,US,True,"Salesforce, Inc.",0.49972894317006766,0.4031388603320096,0.833798448159272,1.403879109731908,0.7851363403483143,0.008882432292207117,0.03333333333333333
ARIS,17.4,0.8414481897627966,-0.020270270270270396,0.6385794038688498,-0.41093474426807763,0.4642857142857143,21278471.564999998,1142615000.0,629183000.0,485278000.0,443733000.0,173591000.0,0.8360000000000014,431787225.0,177412038.0,-254375186.0,560512000.0,197246000.0,149457000.0,158282000.0,27693000.0,0.1693000000000015,175600688.0,-25929456.0,-201530143.0,2715611000.0,1143890000.0,1571721000.0,472082000.0,544327000.0,129.0,179947586.20689657,3131088000.0,1.0385201387303038,3.937979917306521,0.5506517943489276,0.42470823505730276,0.15806452359349826,0.1552684307487649,0.11044644692028674,0.06392336752207882,0.5787725119687613,72245000.0,0.1628118711026676,0.05544111184355087,0.056661466557311704,0.36492586602484506,,-0.09507850167052645,1.0220117287186548,False,Basic Materials,Other Precious Metals,NYSE,US,True,"Aris Water Solutions, Inc.",-0.008690938142088083,2.0377841022261847,0.4808408228648563,0.6215089808708968,0.7828607419549625,0.008045977011494254,0.03333333333333333
HL,16.85,1.1869806094182827,-0.25999121651295554,0.7420920817068254,-0.5583149952845017,0.38492063492063494,325679638.0,1573113000.0,801454000.0,698332000.0,845514000.0,273812000.0,0.4099999999999999,721146000.0,483587000.0,-237559000.0,1332390000.0,246719000.0,143322000.0,318348000.0,93327000.0,0.05969999999999996,236935000.0,15937000.0,-220998000.0,3376293000.0,805480000.0,2570813000.0,587550000.0,266247000.0,129.0,618567624.9258159,10422864480.0,0.18067007407740987,5.867671691792298,0.5094700762119441,0.4439172519710917,0.3363496478912052,0.30740766874344055,0.10650794126216104,0.08109841177883555,0.761430657825017,-321303000.0,-0.3800090832322114,0.026270321419357073,0.04639674639615002,0.15092904671442106,,-0.13249264800181737,1.7661278541481016,False,Basic Materials,Silver,NYSE,US,True,Hecla Mining Company,0.4041286236070982,1.8279309968478785,-1.0128349247578887,1.6305470909907058,0.7124429466719484,0.000890207715133531,0.03333333333333333
INCY,120.56,0.5156010230179027,0.11227973060245411,0.33033335667010916,-0.18332278194808715,0.5476190476190477,164045575.86,5361020000.0,4957620000.0,1450244000.0,1870924000.0,1431777000.0,7.3,1516782000.0,1450884000.0,-65898000.0,4413226000.0,4072544000.0,187080000.0,406834000.0,21270000.0,0.30000000000000004,382593000.0,288810000.0,-93783000.0,7339113000.0,1786869000.0,5552244000.0,3461114000.0,33827000.0,129.0,188497180.9140677,22725220131.0,0.2147621717084056,23.33333333333333,0.9247531253380886,0.27051643157458843,0.2281256725244061,0.2706358118417764,0.25787357327956045,0.19508856179214026,0.7565279346427831,-3427287000.0,-1.8318686381702303,0.0630038781471199,0.0638446620818786,0.23590618568692798,,-0.011582462349332951,1.0133449552549034,False,Healthcare,Biotechnology,NASDAQ,US,True,Incyte Corporation,1.2384586852475588,1.921812649253963,0.31203500207187485,-0.68731581413958,0.6962476306084541,0.0,0.03333333333333333
NBIX,163.41,0.4375000000000002,0.15729461756373952,0.3352620236969878,-0.20902139690291077,0.44047619047619047,144266866.28,3102400000.0,3045700000.0,781500000.0,881200000.0,668600000.0,6.71,863700000.0,831300000.0,-32400000.0,2412600000.0,2370500000.0,497300000.0,529900000.0,305800000.0,3.03,529899999.0,492199999.0,-37700000.0,4906200000.0,1498800000.0,3407400000.0,266500000.0,406200000.0,129.0,103694285.1416682,16944683135.0,0.28591560971565944,1.2145214521452146,0.9817238267148014,0.2519017534811759,0.04577558254525613,0.26795384218669416,0.19621999178259084,0.13627654804125391,0.6945089886266357,139700000.0,0.1585338175215615,0.03945780482722494,0.049059636782638485,0.18308987989228634,,-0.03976601035424565,1.2433443015255758,False,Healthcare,Biotechnology,NASDAQ,US,True,"Neurocrine Biosciences, Inc.",0.9646941337717826,1.6401676920357096,-0.4603795112535858,0.43140035142803423,0.6439706664954852,0.0,0.03333333333333333
THC,262.13,0.2652674091298497,0.30173312807270203,0.42241255020621243,-0.3408088235294118,0.3412698412698413,207819284.60000002,21455000000.0,9175000000.0,3463000000.0,4403000000.0,1703000000.0,19.39,4366000000.0,3349000000.0,-1017000000.0,20520000000.0,10922000000.0,3482000000.0,4441000000.0,1455000000.0,15.2,2276000000.0,1422000000.0,-854000000.0,31203000000.0,22353000000.0,4814000000.0,2967000000.0,13209000000.0,129.0,62106180.13962538,16279893000.0,0.045565302144249475,0.2756578947368422,0.42763924493125144,0.16140759729666745,-0.008280511865125906,0.15609415054765788,0.3537598670544246,0.054578085440502515,0.15428003717591257,10242000000.0,2.326141267317738,0.10460756713818696,0.20571388276323438,1.3178833546387558,,-0.08534435791430312,1.9665296535525543,False,Healthcare,Medical - Care Facilities,NYSE,US,True,Tenet Healthcare Corporation,-0.043454690710440606,-0.8062777206640188,1.8773253403340662,1.5428046466324616,0.6425993938980171,0.0,0.03333333333333333
RDDT,161.7,-0.05433858936833158,0.15640420510620023,0.705067934908006,-0.5499242732074914,0.4126984126984127,879061829.4300001,2473556000.0,2260162000.0,620993000.0,655013000.0,707544000.0,3.740000000000001,875550000.0,868733000.0,-6817000.0,1449603000.0,1320278000.0,32590000.0,32810000.0,116948000.0,0.658600000000001,317582000.0,313206000.0,-4376000.0,3484283000.0,304567000.0,3179716000.0,1374348000.0,21288000.0,129.0,198676000.3896104,32125909263.0,0.706367881413049,4.678712420285447,0.9137298690630008,0.2510527354141164,0.22857071792381042,0.35120813921334304,0.22251798588301597,0.20306731686260845,0.9125883287895961,-1353060000.0,-2.0656994594000424,0.022024092585447578,0.027041506993252196,0.0769956728617434,,-0.048218241744427764,1.2278148072770032,False,Communication Services,Internet Content & Information,NYSE,US,True,"Reddit, Inc.",1.2210768089633826,2.0598739027923223,-1.6829428800269968,0.6507564623236448,0.5621910735130882,0.0,0.03333333333333333
KTB,77.05,0.34269304403318435,0.1579501051998795,0.4923588573946376,-0.329100529100529,0.4801587301587302,47721666.49499999,3143633000.0,1502626000.0,376763000.0,460633000.0,277009000.0,4.99,424445000.0,400167000.0,-24277999.0,2600492000.0,1170187000.0,329443000.0,370561000.0,229177000.0,4.119999999999999,389386999.0,368675000.0,-19990999.0,2650075000.0,2031206000.0,618869000.0,56411000.0,1275375000.0,125.0,59748711.17456198,4603638196.0,0.2088608617138603,0.21116504854368956,0.4779902743100101,0.11984954986793941,-0.006835323609848648,0.12729443926819703,0.4476052282470119,0.10452873975264851,0.23352886239068707,1218964000.0,2.646280227426172,0.0601717572507516,0.0869240767764279,0.6828583972414326,,-0.055634651849475955,1.4445992729478103,False,Consumer Cyclical,Apparel - Manufacturers,NYSE,US,True,"Kontoor Brands, Inc.",-0.17381876284176262,0.1270163532552907,1.2276786966762285,1.009038110119809,0.5474785993023914,0.027384815055158992,0.03333333333333333
AZZ,150.92,0.2983781791374862,0.16262229412217843,0.31870598377143067,-0.18153535693264944,0.5833333333333334,24576797.884999998,1650080000.0,394955000.0,264617000.0,566021000.0,317260000.0,10.58,525446000.0,444670000.0,-80776000.0,1577744000.0,382680000.0,236364000.0,334170000.0,128833000.0,1.6099999999999999,249909000.0,134026000.0,-115883000.0,2213474000.0,876443000.0,1337031000.0,705000.0,538386000.0,160.0,31154255.39358601,4701800224.0,0.04584774209250675,5.571428571428572,0.23935506157277223,0.1603661640647726,0.010554787821224848,0.26948390381072435,0.23728694398260025,0.14333125214030074,0.6040418816755923,537681000.0,0.9499311862987415,0.06747628246316575,0.09457441380223133,0.3509464293223871,,-0.09405396223312314,1.4015949063859294,False,Industrials,Manufacturing - Metal Fabrication,NYSE,US,True,AZZ Inc.,-0.36501940196770166,0.20985310537830631,0.9565663178268948,1.2430179617417936,0.5111044957448232,0.005565862708719852,0.03333333333333333
BLBD,68.76,0.4943605429172242,0.16129032258064524,0.4586273772515419,-0.23447255997371008,0.49206349206349204,24000251.400000002,1493095000.0,314218000.0,177208000.0,199143000.0,133009000.0,4.199999999999999,206374000.0,183799000.0,-22575000.0,1373147000.0,250383000.0,117911000.0,144677000.0,104094000.0,3.23,164884000.0,141016000.0,-23868000.0,689364000.0,391436000.0,297928000.0,275893000.0,87982000.0,132.0,36272072.12041885,2494067679.0,0.08735262866976368,0.3003095975232195,0.21044742631915583,0.11868501334476372,0.032815838376606635,0.12309933393387561,0.44644679251362746,0.19294451117261707,0.43217806557928756,-187911000.0,-0.9435983187960411,0.0533301486242467,0.07369447170483139,0.5986585739319867,,-0.10642418228976273,1.3818538595132661,False,Consumer Cyclical,Auto - Manufacturers,NASDAQ,US,True,Blue Bird Corporation,-0.7430752111485355,0.5246327634457656,0.9667969736325299,1.2576417024681676,0.501499057099482,0.0,0.03333333333333333
BKE,45.94,-0.1561285041948024,-0.11227053140096621,0.30676776648139165,-0.279859894921191,0.29365079365079366,22680291.33,1314449000.0,642358000.0,277351000.0,323751000.0,221433000.0,4.3999999999999995,269482000.0,220861000.0,-48621000.0,1227330000.0,599066000.0,242514000.0,281672000.0,195818000.0,3.92,243106000.0,200257000.0,-42849000.0,991279000.0,566636000.0,424643000.0,249461000.0,383814000.0,97.0,48490248.99869395,2227642039.0,0.07098253933334964,0.12244897959183665,0.4886899377609934,0.2110017201123817,0.013406941202064176,0.16802553769678397,0.521456847281128,0.22338110663092833,0.42837889231992204,134353000.0,0.4149886795716461,0.09940241570382755,0.09914564195383278,0.5900629351518536,,-0.048471721886572804,0.9974168258570313,False,Consumer Cyclical,Apparel - Retail,NYSE,US,True,"The Buckle, Inc.",0.5171108194542439,-0.26507760679365,1.4885604197199274,0.10967805544780529,0.46256792195708163,0.1610796691336526,0.03333333333333333
